lays salt,8.96E+12,50,10,
lays french cheese,8.96E+12,50,10,
lays french cheese,8.96E+12,50,20,
lays masala,8.96E+12,50,20,
kurkure (red chilli jhatka),8.96E+12,50,20,
lays (yogurt & herb),8.96E+12,50,20,
lays (paprika),8.96E+12,50,20,
kurleez (catchy ketchup),8.71E+11,50,20,
lays french cheese(big bang),8.96E+12,50,30,
lays (yogurt & herb),8.96E+12,50,30,
lays (paprika),8.96E+12,50,30,
kurkure (mirchi masala),8.71E+11,50,30,
lays french cheese(party’s on),8.96E+12,50,50,
lays(classic),8.96E+12,50,50,
lays (masala),8.96E+12,50,50,
lays (bbq steak & cheese dip),8.96E+12,50,50,
lays(masala),8.96E+12,50,50,
kurleez (catchy ketchup),8.71E+11,50,50,
kurkure (chutyney chaska),8.96E+12,50,50,
kurkure (red chilli),8.96E+12,50,50,
kurkure (red chilli),8.96E+12,50,30,
kurkure (chutyney chaska),8.96E+12,50,30,
kurkure (red chilli),8.96E+12,50,20,
kurleez (mirchi masala),8.71E+11,50,20,
kurleez (mirchi masala),8.71E+12,50,20,
fanta(orange flavor 500mg),40822938,36,50,
spirte(500ml),54491069,24,50,
cocacola(500ml),54491472,24,50,
Cocacola(1 litre),5.45E+12,12,90,
Spirte(1 litre),5.45E+12,15,90,
fanta(orange flavor 1 litre),5.45E+12,15,90,
Cocacola(2.25 litre),5.45E+12,28,140,
Mirinda(2.25 litre),8.96E+12,14,140,
Spirte(2.25 litre),5.45E+12,22,140,
Spirte(1.5 litre),5.45E+12,22,110,
Cocacola(1.5 litre),5.45E+12,4,110,
fanta(orange flavor 1.5 litre),5.45E+12,26,110,
Slice(1 litre),8.96E+12,30,120,
sting(500ml),8.96E+12,26,60,
pakola(cream soda 1.5 litre),8.96E+12,18,100,
pakola(cream soda 500ml),3.49E+13,34,50,
red anaar(1500ml),8.96E+12,24,100,
bigg applle(1.5 litre),8.95E+11,15,100,
dasani(500ml),87303322,30,30,
 pure life(nestle 0.5l),8.96E+12,209,30,
pure life(nestle 1.5 litre),8.96E+12,51,60,
dasani(1.5 litre),5.45E+12,11,60,
pure life(nestle 5 litre),8.96E+12,19,170,
nountain due(250ml),8.96E+12,16,50,
Pepsi(250ml),8.96E+12,3,50,
7up(250ml),8.96E+12,25,50,
miranda(250ml),8.96E+12,21,50,
joiner(red apple),8.85E+12,2,120,
joiner(pine apple),8.85E+12,19,120,
joiner(strawberry),8.85E+12,8,120,
joiner(mango),8.85E+12,6,120,
litchi(285ml),7.06E+12,84,60,
barbican(pomegranate flavor),6.28E+12,1,160,
barbican(peach flavor),6.28E+12,19,160,
barbican(strawberry flavor),6.28E+12,6,160,
basil seed drink( 290ml),6.26E+12,5,100,
Red bull(250ml),90162602,16,250,
fruita vitals(pomegranate 1 litre),8.96E+12,15,240,
fruita vitals(red grapes 1 litre),8.96E+12,6,200,
fruita vitals(apple nectar 1 litre),8.96E+12,1,180,
Slice(355ml),8.96E+12,59,50,
rani float(peach flavor 240ml),6.26E+12,13,60,
rani float(mango flavor 240ml),6.26E+12,37,60,
red anaar(500ml),8.96E+12,5,50,
bigg applle(500ml),1.86E+12,6,50,
fruita vitals(red grapes juice),8.96E+12,60,40,
fruita vitals(apple nectar juice),8.96E+12,43,40,
fruita vitals(pine apple juice),8.96E+12,18,40,
fruita vitals(peach juice ),8.96E+12,89,40,
fruita vitals(chaunsa juice),8.96E+12,59,40,
pakola(juice 250ml),8.96E+12,67,40,
anaar(juice 200ml),8.96E+12,27,30,
nesfruta(juice 200 ml),8.96E+12,118,30,
Pepsi(diet 250ml),12000801914,22,50,
7up(diet 250ml),12000022784,4,50,
banana (aloevera 240ml),9.56E+12,40,120,
banana (peach 240ml),9.56E+12,24,120,
strawberry tickle,9.61E+11,1,350,
almound crunch,8.96E+12,2,350,
badami and strawberry,8.96E+12,2,470,
king k(maestic),8.96E+12,4,150,
chaunsa mango,8.96E+12,10,150,
precious mista,8.96E+12,5,240,
king k(maestic),8.96E+12,4,240,
king kulfa,8.96E+12,3,240,
paddle pop,8.96E+12,,25,
paddle pop(moo),8.96E+12,,25,
paddle pop(rambo swril),8.72E+12,,20,
magnum,8.96E+12,,130,
chocbar,8.96E+12,,25,
fest,8.96E+12,,50,
jet sport,8.96E+12,,20,
mini pop,8.96E+12,,35,
donut,8.96E+12,,50,
king kulfa,8.96E+12,,40,
cornetto,8.96E+12,,60,
walls(mango),8.96E+12,,25,
paddle pop(vanilla,8.96E+12,,25,
walls(king kulfa),8.96E+12,,60,
roohafza(800ml),8.96E+12,3,400,
maaz thadal (900ml),,8,200,
jam e shirin(800ml),8.55E+11,14,210,
jam e shirin(3000ml),8.55E+11,4,690,
